,weight,risk_contribution,risk_pct
AAPL,0.022222222222222223,0.0002833971589041124,0.03184899729936605
AGG,0.022222222222222223,1.0322140132914282e-05,0.0011600321417763314
AMZN,0.022222222222222223,0.00028631636847019435,0.032177066564230784
BAC,0.022222222222222223,0.000303500585287819,0.03410827884995954
BRK-B,0.022222222222222223,0.00020616051985530937,0.0231689190727888
COST,0.022222222222222223,0.00017183223233585364,0.01931100623863462
CVX,0.022222222222222223,0.0002604407532507429,0.029269089637325232
DBC,0.022222222222222223,9.630535004700338e-05,0.010823075451505536
DIA,0.022222222222222223,0.0002269688824164771,0.025507423402110936
EEM,0.022222222222222223,0.00021778945916894622,0.024475813108800735
EFA,0.022222222222222223,0.00020444125929863243,0.022975703569012216
GLD,0.022222222222222223,1.7574934968931152e-05,0.0019751223284190083
GOOGL,0.022222222222222223,0.00027474286224672727,0.03087640226018207
GS,0.022222222222222223,0.0003009441136446484,0.033820975128305814
HD,0.022222222222222223,0.00023854635620712374,0.02680853359290345
HYG,0.022222222222222223,8.935995087893138e-05,0.010042531284435078
IEF,0.022222222222222223,-1.0789703477312803e-05,-0.0012125782708575672
IWM,0.022222222222222223,0.0002712337622413692,0.030482039391386804
JNJ,0.022222222222222223,0.00012726783906397794,0.01430273005671253
JPM,0.022222222222222223,0.0002746572409707121,0.030866779892056998
KO,0.022222222222222223,0.0001363579780464628,0.015324306324532418
LQD,0.022222222222222223,3.543550482479094e-05,0.003982345136523745
META,0.022222222222222223,0.0003156976856605524,0.03547902447893291
MSFT,0.022222222222222223,0.0002770192217676312,0.031132226166512008
NVDA,0.022222222222222223,0.00041092208233831404,0.04618061924562548
PFE,0.022222222222222223,0.00015449399806455888,0.01736248502332815
QQQ,0.022222222222222223,0.00027154845926539816,0.03051740595860002
SHY,0.022222222222222223,-8.577283296970808e-07,-9.639400536599968e-05
SPY,0.022222222222222223,0.00023859112652035273,0.026813565010969303
TIP,0.022222222222222223,6.845769051315467e-06,0.0007693474446622833
TLT,0.022222222222222223,-3.006758869520973e-05,-0.003379083103215568
TSLA,0.022222222222222223,0.0004229154450769171,0.04752846824647353
UNH,0.022222222222222223,0.0002050459069047857,0.02304365562629434
VNQ,0.022222222222222223,0.00020967132586858852,0.023563473667718098
WMT,0.022222222222222223,0.0001311981982853822,0.014744435261916784
XLB,0.022222222222222223,0.00024086691986879754,0.02706932528919093
XLE,0.022222222222222223,0.000275149781991585,0.0309221330850963
XLF,0.022222222222222223,0.0002575492371324082,0.028944132642696102
XLI,0.022222222222222223,0.00023805273738719665,0.026753059273670443
XLK,0.022222222222222223,0.0002866385592152394,0.032213275297615765
XLP,0.022222222222222223,0.0001430803491220202,0.01607978594563619
XLU,0.022222222222222223,0.00014909025454743516,0.016755196603963393
XLV,0.022222222222222223,0.00018426389865857355,0.020708113071568297
XLY,0.022222222222222223,0.0002629917621257468,0.029555779437197744
XOM,0.022222222222222223,0.0002246371619425703,0.02524537787080248
